Security,No. of Smallcases,Quantity,Average Cost ₹,Portfolio Weight %,LTP ₹,Invested Value ₹,Current Value ₹,P & L ₹,Net Change %,Daily Change ₹,Daily Change %

DABUR,0.00,1.00,532.30,2.18,534.50,532.30,534.50,2.20,0.41,-1.10,-0.21
BCG,0.00,1.00,25.00,0.10,24.70,25.00,24.70,-0.30,-1.20,-0.75,-2.95
MSUMI,0.00,1.00,85.45,0.21,50.80,85.45,50.80,-34.65,-40.55,0.25,0.49
RCF,0.00,3.00,130.87,1.36,111.15,392.61,333.45,-59.16,-15.07,-1.70,-1.51
REDINGTON,0.00,1.00,167.50,0.73,179.85,167.50,179.85,12.35,7.37,-0.30,-0.17
SBIN,0.00,1.00,539.45,2.16,531.00,539.45,531.00,-8.45,-1.57,-9.10,-1.68
GSFC,0.00,1.00,128.25,0.52,128.40,128.25,128.40,0.15,0.12,0.05,0.04
HCLTECH,0.00,1.00,1067.30,4.52,1109.55,1067.30,1109.55,42.25,3.96,-18.60,-1.65
GAIL,0.00,70.00,102.32,27.35,96.00,7162.40,6720.00,-442.40,-6.18,0.05,0.05
IEX,0.00,2.00,145.35,1.10,135.45,290.70,270.90,-19.80,-6.81,-0.70,-0.51
ADANIPOWER,0.00,1.00,140.80,0.63,155.15,140.80,155.15,14.35,10.19,7.35,4.97
FEDERALBNK,0.00,1.00,131.95,0.52,127.10,131.95,127.10,-4.85,-3.68,-3.15,-2.42
ASHOKLEY,0.00,1.00,145.10,0.61,148.90,145.10,148.90,3.80,2.62,-2.05,-1.36
WIPRO,0.00,5.00,402.23,8.27,406.30,2011.15,2031.50,20.35,1.01,-3.60,-0.88
UGARSUGAR,0.00,2.00,101.12,0.82,100.20,202.24,200.40,-1.84,-0.91,-0.55,-0.55
HINDALCO,0.00,1.00,494.00,1.75,429.50,494.00,429.50,-64.50,-13.06,-5.20,-1.20
FINPIPE,0.00,1.00,155.70,0.73,179.05,155.70,179.05,23.35,15.00,0.80,0.45
JSL,0.00,3.00,233.80,3.22,264.00,701.40,792.00,90.60,12.92,6.70,2.60
APOLLOTYRE,0.00,4.00,305.94,5.39,330.95,1223.76,1323.80,100.04,8.17,-3.20,-0.96
VEDL,0.00,2.00,322.10,2.56,314.00,644.20,628.00,-16.20,-2.51,-0.85,-0.27
TATASTEEL,0.00,15.00,107.80,6.85,112.25,1617.00,1683.75,66.75,4.13,0.25,0.22
MCDOWELL-N,0.00,2.00,784.92,6.28,771.80,1569.84,1543.60,-26.24,-1.67,-14.85,-1.89
NATIONALUM,0.00,6.00,73.51,1.96,80.45,441.06,482.70,41.64,9.44,-0.15,-0.19
NTPC,0.00,1.00,170.80,0.68,168.05,170.80,168.05,-2.75,-1.61,0.65,0.39
LICI,0.00,1.00,600.35,2.45,602.65,600.35,602.65,2.30,0.38,-0.15,-0.02
TECHM,0.00,1.00,1070.20,4.60,1129.20,1070.20,1129.20,59.00,5.51,-1.05,-0.09
TATAPOWER,0.00,3.00,216.25,2.50,204.70,648.75,614.10,-34.65,-5.34,-0.45,-0.22
TNPETRO,0.00,3.00,98.05,1.01,82.50,294.15,247.50,-46.65,-15.86,0.15,0.18
EMAMILTD,0.00,1.00,389.90,1.60,391.95,389.90,391.95,2.05,0.53,4.00,1.03
GNFC,0.00,1.00,582.00,2.21,542.25,582.00,542.25,-39.75,-6.83,-7.90,-1.44
EXIDEIND,0.00,7.00,177.62,5.15,180.75,1243.34,1265.25,21.91,1.76,-1.15,-0.63

